prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
M City,2016,2200,KL City,Service Residence,2,,2,1042,Partially Furnished,"Lift, Sauna, Swimming Pool, Squash Court, Security, Jogging Track, Barbeque area, Parking, Minimart, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
i-Zen @ Kiara 1,2008,2200,Mont Kiara,Condominium,2,1,2,913,Fully Furnished,"Playground, Swimming Pool, Squash Court, Barbeque area, Parking, Sauna, Security, Gymnasium",,Kuala Lumpur
Nidoz Residences,2019,2200,Desa Petaling,Condominium,4,2,2,1200,Partially Furnished,"Jogging Track, Parking, Playground, Swimming Pool, Security, Gymnasium, Multipurpose hall, Lift, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Denai Sutera,2017,2200,Bukit Jalil,Apartment,4,2,3,1500,Partially Furnished,"Parking, Squash Court, Multipurpose hall, Playground, Swimming Pool, Security, Gymnasium, Lift, Barbeque area, Sauna, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Holmes,,2200,Cheras,Condominium,3,2,2,1018,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Z Residence,2014,2200,Bukit Jalil,Condominium,3,2,2,1232,Fully Furnished,"Minimart, Swimming Pool, Jogging Track, Barbeque area, Sauna, Parking, Playground, Gymnasium, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Scarletz,,2200,KLCC,Service Residence,1,,1,300,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Near KTM/LRT, Cooking Allowed, Internet",Kuala Lumpur
TR Residence,,2200,Titiwangsa,Service Residence,2,,1,710,Fully Furnished,"Barbeque area, Jogging Track, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Avara Seputeh,2020,2200,Seputeh,Service Residence,2,1,2,807,Partially Furnished,"Security, Gymnasium, Jogging Track, Barbeque area, Multipurpose hall, Playground, Parking, Swimming Pool, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
TR Residence,,2200,Titiwangsa,Service Residence,2,1,1,710,Fully Furnished,"Security, Swimming Pool, Gymnasium, Playground, Jogging Track, Multipurpose hall, Barbeque area, Parking, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Maxim Residences,2017,2200,Cheras,Service Residence,3,1,2,1050,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Hermington,2021,2200,Kuchai Lama,Condominium,3,,2,1075,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Sauna, Security, Playground, Jogging Track, Multipurpose hall",,Kuala Lumpur
RSGC View,,2200,Desa Pandan,Apartment,4,1,3,1475,Partially Furnished,"Parking, Playground, Security","Air-Cond, Cooking Allowed",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2200,Setapak,Condominium,4,3,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Platinum Splendor Residensi Semarak,2020,2200,Keramat,Condominium,4,2,2,1184,Fully Furnished,"Squash Court, Parking, Tennis Court, Lift, Security, Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Platinum Splendor Residensi Semarak,2020,2200,Keramat,Condominium,4,2,2,1184,Fully Furnished,"Squash Court, Parking, Tennis Court, Lift, Security, Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Lojing Heights 1,2001,2200,Wangsa Maju,Condominium,3,1,2,1500,Partially Furnished,"Squash Court, Security, Minimart, Playground, Jogging Track, Barbeque area, Parking, Club house, Gymnasium, Tennis Court, Sauna, Swimming Pool, Lift",Air-Cond,Kuala Lumpur
Far East Residence,2021,2200,Kuchai Lama,Service Residence,3,2,2,864,Partially Furnished,"Playground, Sauna, Barbeque area, Multipurpose hall, Minimart, Security, Gymnasium, Lift, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Lojing Heights 1,2001,2200,Wangsa Maju,Condominium,3,,3,1500,Partially Furnished,"Swimming Pool, Gymnasium, Club house, Minimart, Playground, Jogging Track, Barbeque area, Tennis Court, Squash Court, Parking, Security, Sauna",,Kuala Lumpur
Eco Sky,2018,2200,Jalan Ipoh,Service Residence,3,2,2,1087,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Platinum Splendor Residensi Semarak,2020,2200,Keramat,Condominium,4,2,2,1184,Fully Furnished,"Security, Minimart, Swimming Pool, Tennis Court, Sauna, Lift, Parking, Gymnasium, Playground, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Amaya Maluri,2013,2200,Cheras,Service Residence,3,,2,936,Fully Furnished,"Multipurpose hall, Parking, Security, Playground, Gymnasium, Swimming Pool",,Kuala Lumpur
Suasana Lumayan,2015,2200,Cheras,Condominium,5,,2,1364,Fully Furnished,"Playground, Gymnasium, Security, Minimart, Sauna, Lift, Parking, Swimming Pool","Air-Cond, Washing Machine",Kuala Lumpur
The Elements,2015,2200,Ampang,Service Residence,2,2,2,950,Fully Furnished,"Security, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Playground, Jogging Track, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Elements,2015,2200,Ampang,Service Residence,2,1,2,850,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Playground, Jogging Track, Barbeque area, Sauna, Security","Air-Cond, Washing Machine, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
South View,2017,2200,Bangsar South,Service Residence,2,1,1,600,Fully Furnished,"Parking, Gymnasium, Multipurpose hall, Security, Playground, Swimming Pool, Barbeque area",,Kuala Lumpur
South View Serviced Apartments,2017,2200,Bangsar South,Service Residence,1,1,1,648,Fully Furnished,,,Kuala Lumpur
KL Traders Square Residences,2019,2200,Gombak,Service Residence,3,1,2,1049,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Cooking Allowed, Air-Cond",Kuala Lumpur
Pinnacle (Sri Petaling),2016,2200,Sri Petaling,Service Residence,3,2,3,918,Partially Furnished,"Parking, Security, Swimming Pool, Club house, Gymnasium, Tennis Court, Squash Court, Lift, Multipurpose hall, Sauna, Minimart, Playground, Jogging Track, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
The Era,2021,2200,Segambut,Condominium,2,1,2,1020,Partially Furnished,"Playground, Security, Parking, Swimming Pool, Gymnasium, Sauna, Lift, Multipurpose hall, Barbeque area, Minimart, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
M Vertica,2023,2200,Cheras,Condominium,3,2,2,850,Fully Furnished,"Barbeque area, Security, Jogging Track, Lift, Tennis Court, Multipurpose hall, Parking, Playground, Swimming Pool, Gymnasium, Minimart, Club house, Sauna, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Laman Tasik,2002,2200,Cheras,Condominium,4,2,3,1281,Fully Furnished,"Minimart, Playground, Security, Swimming Pool, Parking, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT",Kuala Lumpur
M Vertica,2023,2200,Cheras,Condominium,4,2,2,1000,Partially Furnished,"Security, Tennis Court, Jogging Track, Barbeque area, Multipurpose hall, Parking, Playground, Swimming Pool, Lift, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Reach @ Titiwangsa,2017,2200,Setapak,Condominium,4,2,3,1500,Partially Furnished,"Swimming Pool, Squash Court, Security, Gymnasium, Parking, Playground, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Parc 3,2021,2200,Cheras,Condominium,2,1,2,699,Fully Furnished,"Barbeque area, Jogging Track, Gymnasium, Security, Playground, Lift, Multipurpose hall, Parking, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
M Vertica,2023,2200,Cheras,Condominium,3,2,2,850,Fully Furnished,"Tennis Court, Swimming Pool, Lift, Barbeque area, Parking, Security, Multipurpose hall, Playground, Jogging Track","Near KTM/LRT, Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur
Central Residence @ Sg Besi,2015,2200,Sungai Besi,Apartment,2,,2,845,Fully Furnished,"Gymnasium, Multipurpose hall, Security, Swimming Pool, Sauna, Playground, Barbeque area, Lift, Parking, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Loft @ ZetaPark,,2200,Setapak,Condominium,3,2,2,1012,Fully Furnished,"Parking, Sauna, Swimming Pool, Gymnasium, Multipurpose hall, Jogging Track, Security",Air-Cond,Kuala Lumpur
Far East Residence,2021,2200,Kuchai Lama,Service Residence,3,2,3,1106,Fully Furnished,"Barbeque area, Security, Minimart, Playground, Gymnasium, Sauna, Multipurpose hall, Lift, Swimming Pool, Parking","Near KTM/LRT, Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur
"Fera Residence @ The Quartz, Wangsa Maju",,2200,Wangsa Maju,Service Residence,3,2,2,1087,Fully Furnished,"Parking, Swimming Pool, Lift, Security, Minimart, Sauna, Gymnasium","Washing Machine, Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
The Leafz,,2200,Sungai Besi,Service Residence,2,2,2,1025,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Amaya Maluri,2013,2200,Cheras,Service Residence,3,2,2,920,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Pinnacle PJ,2016,2200,Sri Petaling,Service Residence,3,2,3,918,Fully Furnished,"Multipurpose hall, Playground, Swimming Pool, Barbeque area, Club house, Jogging Track, Security, Gymnasium, Parking, Sauna, Lift, Tennis Court, Squash Court, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Petalz Residences @ Old Klang Road,2016,2200,Old Klang Road,Service Residence,2,2,2,895,Fully Furnished,"Security, Playground, Swimming Pool, Gymnasium, Parking, Lift, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
THE FENNEL AT SENTUL EAST,2017,2200,Sentul,Condominium,2,1,2,900,Fully Furnished,,,Kuala Lumpur
The Tamarind,2005,2200,Sentul,Condominium,4,1,2,1345,Partially Furnished,"Barbeque area, Security, Playground, Club house, Parking, Minimart, Swimming Pool, Tennis Court, Gymnasium",,Kuala Lumpur
Sky Vista Residency,2014,2200,Cheras,Condominium,3,2,2,1450,Fully Furnished,"Playground, Parking, Security, Swimming Pool, Barbeque area, Sauna, Multipurpose hall","Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur
Amaya Maluri,2013,2200,Cheras,Service Residence,3,2,2,920,Fully Furnished,"Parking, Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sofiya Residences,,2200,Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Security, Playground",,Kuala Lumpur
South View Serviced Apartments,2017,2200,Bangsar South,Condominium,2,1,1,648,Fully Furnished,,,Kuala Lumpur
Ativo Suites @ Damansara Avenue,2021,2200,Sri Damansara,Service Residence,1,1,1,499,Fully Furnished,"Tennis Court, Lift, Parking, Security, Playground, Squash Court, Minimart, Sauna, Club house, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Amaya Maluri,2013,2200,Cheras,Service Residence,3,1,2,920,Fully Furnished,"Playground, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Security","Air-Cond, Near KTM/LRT, Cooking Allowed, Washing Machine",Kuala Lumpur
Bam Villa,1996,2200,Cheras,Condominium,3,1,2,1206,Partially Furnished,"Security, Gymnasium, Sauna, Parking, Playground, Barbeque area, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
i-Zen @ Kiara 1,2008,2200,Mont Kiara,Condominium,2,1,2,913,Fully Furnished,"Playground, Gymnasium, Barbeque area, Parking, Security, Swimming Pool, Squash Court, Sauna",,Kuala Lumpur
South View Serviced Apartments,2017,2200,Bangsar South,Service Residence,2,,1,648,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
TR Residence,,2200,Titiwangsa,Service Residence,2,,1,710,Fully Furnished,"Barbeque area, Jogging Track, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
,,2200,Sri Damansara,Service Residence,1,1,1,499,Fully Furnished,"Minimart, Squash Court, Sauna, Club house, Security, Gymnasium, Lift, Swimming Pool, Playground, Tennis Court, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Trinity Aquata,2019,2200,Sungai Besi,Condominium,3,2,2,839,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Sofiya Residences,,2200,Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Vue Residences,2013,2200,Titiwangsa,Apartment,2,1,1,737,Fully Furnished,"Security, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Playground, Barbeque area",Air-Cond,Kuala Lumpur
UBN Apartment,,2200,KL City,Condominium,1,,1,720,Fully Furnished,"Gymnasium, Swimming Pool, Squash Court, Security, Parking, Sauna, Tennis Court",,Kuala Lumpur
Anggun Residences,2018,2200,KL City,Service Residence,1,1,1,751,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
THE FENNEL AT SENTUL EAST,2017,2200,Sentul,Condominium,2,1,2,900,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
3 Residen,2010,2200,Taman Melawati,Condominium,3,,2,1206,Partially Furnished,"Security, Sauna, Minimart, Gymnasium, Playground, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
38 Bidara,,2200,KLCC,Condominium,2,,2,700,Fully Furnished,"Minimart, Playground, Sauna, Barbeque area, Club house, Parking, Security, Gymnasium, Swimming Pool",Air-Cond,Kuala Lumpur
Pearl Suria,2016,2200,Old Klang Road,Condominium,3,1,2,1202,Partially Furnished,"Playground, Gymnasium, Barbeque area, Security, Swimming Pool, Sauna, Multipurpose hall, Jogging Track",,Kuala Lumpur
THE FENNEL AT SENTUL EAST,2017,2200,Sentul,Condominium,2,1,2,900,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2200,Setapak,Service Residence,3,,2,1000,Not Furnished,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium",,Kuala Lumpur
G Residence @ Desa Pandan,2015,2200,Desa Pandan,Service Residence,2,2,2,1087,Partially Furnished,"Swimming Pool, Gymnasium, Security, Multipurpose hall, Parking, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Residency V,2017,2200,Old Klang Road,Service Residence,2,,2,814,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Platinum Lake PV10,,2200,Setapak,Condominium,4,,2,1272,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Club house, Parking, Squash Court, Security, Jogging Track, Minimart, Playground",,Kuala Lumpur
Sofiya Residences,,2200,Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Playground, Security","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
,,2200,Mont Kiara,Condominium,1,1,1,672,Fully Furnished,"Security, Squash Court, Lift, Gymnasium, Swimming Pool, Parking, Playground, Minimart, Jogging Track",,Kuala Lumpur
Amanja,,2200,Kepong,Condominium,3,1,2,1000,Partially Furnished,,,Kuala Lumpur
Residensi Suria Pantai,2020,2200,Pantai,Apartment,3,1,2,810,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Minimart, Multipurpose hall","Air-Cond, Near KTM/LRT, Washing Machine",Kuala Lumpur
CitiZen,2019,2200,Old Klang Road,Service Residence,3,2,2,883,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Multipurpose hall, Security, Jogging Track, Sauna, Parking, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Elements,2015,2200,Ampang,Service Residence,2,2,2,950,Fully Furnished,"Security, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Playground, Jogging Track, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Elements,2015,2200,Ampang,Service Residence,2,1,2,850,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Playground, Jogging Track, Barbeque area, Sauna, Security","Air-Cond, Washing Machine, Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Trinity Aquata,2019,2200,Sungai Besi,Condominium,3,2,2,839,Fully Furnished,"Security, Swimming Pool, Gymnasium, Parking, Jogging Track, Lift",,Kuala Lumpur
M City,2016,2200,KL City,Service Residence,1,,2,910,Fully Furnished,"Jogging Track, Parking, Security, Playground, Lift, Sauna, Barbeque area, Minimart, Swimming Pool, Gymnasium, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2200,Setapak,Service Residence,3,3,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium","Air-Cond, Washing Machine, Near KTM/LRT",Kuala Lumpur
THE FENNEL AT SENTUL EAST,2017,2200,Sentul,Condominium,2,1,2,900,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Leafz,,2200,Sungai Besi,Service Residence,3,2,2,1200,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sofiya Residences,,2200,Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Security, Playground",,Kuala Lumpur
Lakeville Residence,2017,2200,Jalan Ipoh,Condominium,4,2,2,1234,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
V Residence 3 @ Sunway Velocity,,2200,Cheras,Service Residence,3,1,2,950,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Lakeville Residence,2017,2200,Jalan Ipoh,Condominium,4,2,2,1350,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Jogging Track, Sauna, Gymnasium, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Era,2021,2200,Segambut,Condominium,2,1,2,1020,Partially Furnished,"Playground, Security, Parking, Swimming Pool, Gymnasium, Sauna, Lift, Multipurpose hall, Barbeque area, Minimart, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
The Era,2021,2200,Segambut,Service Residence,3,2,2,1023,Not Furnished,"Swimming Pool, Gymnasium, Sauna, Parking, Jogging Track, Playground, Barbeque area, Security, Lift",Near KTM/LRT,Kuala Lumpur
THE FENNEL AT SENTUL EAST,2017,2200,Sentul,Condominium,2,1,2,901,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Pearl Suria,2016,2200,Old Klang Road,Condominium,3,1,2,1220,Fully Furnished,"Security, Playground, Jogging Track, Sauna, Multipurpose hall, Swimming Pool, Gymnasium, Barbeque area, Parking, Lift","Air-Cond, Washing Machine, Near KTM/LRT, Cooking Allowed, Internet",Kuala Lumpur
The Hipster @ Taman Desa,2022,2200,Taman Desa,Condominium,3,2,2,958,Fully Furnished,"Squash Court, Playground, Swimming Pool, Gymnasium, Parking, Security, Lift, Minimart, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet, Washing Machine",Kuala Lumpur
The Hipster @ Taman Desa,2022,2200,Taman Desa,Condominium,3,2,2,921,Fully Furnished,"Squash Court, Swimming Pool, Parking, Security, Playground, Lift, Minimart, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
One Residences,,2200,Sungai Besi,Service Residence,2,,2,888,Fully Furnished,"Gymnasium, Swimming Pool, Minimart, Barbeque area, Sauna, Multipurpose hall, Security, Playground",,Kuala Lumpur
The Herz,2020,2200,Kepong,Apartment,3,2,3,1216,Fully Furnished,"Security, Club house, Swimming Pool, Gymnasium, Squash Court, Multipurpose hall, Sauna, Parking, Minimart, Jogging Track, Lift, Barbeque area, Playground, Tennis Court",,Kuala Lumpur
Sri Impian (Brickfields),,2200,Brickfields,Condominium,3,,2,1000,Partially Furnished,,,Kuala Lumpur
UBN Apartment,,2200,KL City,Condominium,1,,1,720,Fully Furnished,"Gymnasium, Swimming Pool, Squash Court, Security, Parking, Sauna, Tennis Court",,Kuala Lumpur
TR Residence,,2200,Titiwangsa,Service Residence,2,1,1,720,Fully Furnished,"Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
TR Residence,,2200,Titiwangsa,Service Residence,2,1,2,710,Fully Furnished,"Multipurpose hall, Swimming Pool, Jogging Track, Barbeque area, Security, Playground, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Verve Suites @ KL South,2016,2200,Old Klang Road,Condominium,2,1,2,729,Fully Furnished,"Sauna, Playground, Jogging Track, Swimming Pool, Security, Barbeque area, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
,,2200,KL City,Condominium,1,1,1,651,Fully Furnished,"Parking, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Security, Gymnasium",,Kuala Lumpur
Hartamas Regency I,2005,2200,Solaris Dutamas,Condominium,3,1,2,1170,Partially Furnished,"Security, Parking, Barbeque area, Gymnasium, Sauna, Swimming Pool",,Kuala Lumpur
THE FENNEL AT SENTUL EAST,2017,2200,Sentul,Condominium,2,1,2,900,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Petalz Residences @ Old Klang Road,2016,2200,Old Klang Road,Service Residence,2,1,2,895,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
,,2200,Jalan Kuching,Condominium,3,2,2,1193,Fully Furnished,"Parking, Security, Lift, Playground, Sauna, Barbeque area, Gymnasium, Multipurpose hall, Swimming Pool, Jogging Track, Minimart, Squash Court, Club house, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur
Lakeville Residence,2017,2200,Jalan Ipoh,Condominium,3,2,2,978,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track, Multipurpose hall",,Kuala Lumpur
PV9 Residences @ Taman Melati,2022,2200,Setapak,Service Residence,4,3,2,1100,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Plaza Rah,,2200,KL City,Condominium,3,1,2,1152,Fully Furnished,"Security, Swimming Pool, Parking, Minimart, Playground, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
KL Traders Square Residences,2019,2200,Gombak,Service Residence,3,,2,945,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Multipurpose hall, Tennis Court, Gymnasium, Minimart",,Kuala Lumpur
The Herz,2020,2200,Kepong,Apartment,3,2,3,1216,Fully Furnished,"Security, Gymnasium, Parking, Playground, Lift, Multipurpose hall, Club house, Minimart, Sauna, Tennis Court, Squash Court, Jogging Track, Barbeque area, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Lakeville Residence,2017,2200,Jalan Ipoh,Condominium,3,2,2,978,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
